Electrica Automations,,4.8,42,"Kannika Nivas Vijaya Bank Colony, No 7, 5th Cross, Banaswadi, Bangalore - 560043, Near Banaswadi Bible Church",
Liveinsmart Technologies,,4.8,24,"H No:8-3-945 Flat No:208,Pancom Business Center, Ameerpet, Hyderabad - 500016, Opposite Chennai Shopping Mall",
ACC Infotech,,3.9,115,"2b,1st & 3rd Floor, Grant Lane, Bowbazar, Kolkata - 700012, Near Lal Bazar Thana",
Kalyas Security Solutions P..,,4.1,22,"Office No 301,Above Andhra Bank,Square Tower, Kanchana Bihari Marg, Gomti Nagar, Lucknow - 226010",
Kalyas Security Solutions P..,,4.1,22,"Office No 301,Above Andhra Bank,Square Tower, Kanchana Bihari Marg, Gomti Nagar, Lucknow - 226010",
TIME ACCESS,,4.4,6,"D-66,, Okhla Industrial Area Phase 1, Delhi - 110020",
Aqua Marketing,,4.0,29,"3rd Floor, 5,, Biplabi Anukul Chandra Street, Princep Street, Kolkata - 700072, Above Sabir Hotel",
Pace Solutions Madras,,4.6,11,"P 157 New No 25, 94th Street 15th Sector, K K Nagar, Chennai - 600078, Near Nagathaman Temple",
A R Solutions,,4.6,83,"3148/229, Shop Number-2, Tri Nagar, Delhi - 110035, Chander Nagar, Near Kanhaiya Nagar Metro Station",
Accutech Infosolution,,4.5,9,"E Wing 303 ,New Omkar Society, Vijay Park, Mira Road, Thane - 401107, Near Amber Plaza Banquet Hall",
The Advanced Communication ..,,4.1,10,"M1, D. No 7-15 , Flat No 3, 1st Floor, Sri Surya Arcade, Dwaraka Nagar, Visakhapatnam - 530016, Opposite Venkatramna Hospital",
Venus Systems N Solutions,,4.1,11,"102, Dimple Arcade,, Thakur Complex, Kandivali East, Mumbai - 400101, Behind Sai Dham Temple",
Infonet Solutions,,4.1,17,"9, Mohini Mohan Road, Lala Lajpat Rai Sarani, Kolkata - 700020, Near Jadu Bazar",
Origin Technology Associate..,,4.1,49,"No 12/25 1st Floor, New Colony Main Road, Adambakkam, Chennai - 600088, Above Tnsc Bank",
Big Dream Info Services Pvt..,,4.1,57,"Building No-59, Office Mo-110, Emco Complex, Vijay Block, Delhi - 110034, Opposite Metro Pillar No-52 and Near Hira Sweet",
Cognitive Enterprises,,3.6,4,"House Number 27, Mohali Sector 78, Mohali - 140308, Dolphin Tower",
Aegis Technologies,,4.5,76,"Door No 40-10-13A, Worksmen Pet, Nirmala Convent Road, Patamata, Vijayawada - 520010, Near NTR Circle",
Lansar Business Solutions,,4.8,16,"4th Floor, Shreenath Complex, Udhna Main Road, Udhna, Surat - 394210, Opposite Dream Honda",
Grab Deal Business Solution..,,4.3,50,"C1/197, Sector 11, Rohini, Delhi - 110085, Opp Cng Station",
S Plus Security Systems,,4.7,10,"Shop No-5, 1 St Floor, Central Market, Kalkaji, Delhi - 110019, Near GK -2",
Geon Solutions,,4.5,24,"2nd Floor, Flat No.5, Classic Plaza, Daba Gardens, Visakhapatnam - 530020, Near Saraswathi Park",
Tejas Telecommunication,,4.0,12,"B 703, Ankur Enclave, Mira Road, Thane - 401107, Near Vijay Park",
Pace Solutions Madras,,4.6,11,"P 157 New No 25, 94th Street 15th Sector, K K Nagar, Chennai - 600078, Near Nagathaman Temple",
Anvi Technologies,,5.0,1,"8-3-318 Vishnu Nivas Apartment, Engineers Colony, Sri Nagar Colony, Hyderabad - 500073, Jayaprakash Nagar,Yellareddy Guda",
Chartered Information Syste..,,4.7,175,"Chartered House 12 NIT Layout, Bhandara Road, Nagpur - 440035, Near West Of Lata Mangeshkar Music Park",
Geon Solutions,,4.5,24,"2nd Floor, Flat No.5, Classic Plaza, Daba Gardens, Visakhapatnam - 530020, Near Saraswathi Park",
TIME ACCESS,,4.4,6,"D-66,, Okhla Industrial Area Phase 1, Delhi - 110020",
S Plus Security Systems,,4.7,10,"Shop No-5, 1 St Floor, Central Market, Kalkaji, Delhi - 110019, Near GK -2",
Bio Tech Systems,,4.0,7,"M-4/203,Gupta Plaza, 2nd Floor, Vikaspuri, Delhi - 110018, Opp Kerala School",
Le Rayon International,,4.5,342,"301 Vikas Chamber Central Market, Prashant Vihar, Delhi - 110085, Near Pvr Cinema",
Sum Agitech Computer Servic..,,4.4,7,"House No 6-3, Rukmani Lane, Ameerpet, Hyderabad - 500016",
Sr Communications,,5.0,1,"Flat no -101 sharada elite appartment, Hmt swarnapuri colony, Madinaguda, Hyderabad - 500049, Community hall",
Prime Digital Corporation,,4.2,61,"132,Saraswati Chowk, Muraraji Peth, Solapur - 413002, Near Swastik Mithai",
Grab Deal Business Solution..,,4.3,50,"C1/197, Sector 11, Rohini, Delhi - 110085, Opp Cng Station",
Digital Check Lab,,4.6,12,"Hotel Shiva Commercial Complex 1st Floor, G S Road, Ulubari, Guwahati - 781007, Near Hotel Shiva",
Aegis Technologies,,4.5,76,"Door No 40-10-13A, Worksmen Pet, Nirmala Convent Road, Patamata, Vijayawada - 520010, Near NTR Circle",
Bk Secure Systems,,5.0,30,"Sector 77, Sohana, Mohali - 140308, 9 Secure Building",
Kis Management Pvt Ltd,,4.5,21,"D-MARN TOWER, DASHADRONE, Rajarhat Gopalpur, Kolkata - 700136, State Bank Of India",
Accutech Technologies Pvt. ..,,4.8,10,"8 / 9 Gokul Complex, Near Snaklap Hotel, Gurukul, Ahmedabad - 380052, Gurukul",
N D Infotech,,4.5,38,"N D INFOTECH, S-Block, Noida Sector 12, Noida - 201301, Near Metro Hospital",
Rdc Cctv Solutions,,4.6,51,"Old NIT Complax Shop No  5, Hill Road Gandi Nagar, Ramnagar, Nagpur - 440010, Near Maruti Suzuki Service Center",
